단축코드,한글명,group_tag
5610,SPC삼립                                 ST3002700050000 NN0NNN NNNNNNNNN0NNNNNNNN0000522000000100001NNN00NNN000000040Y0900000000055310000000050001975050200000000000862900000000004314504500012       0 NN,3
5740,크라운해태홀딩스                        ST3002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000068300000100001NNN00NNN000000100N0900000000431700000000005001976063000000000001484700000000000742367350012       0 NNY00000,6
5750,대림바스                                ST3002700100000 NN0NNN NNNNNNNNN0NNNNNNNN0000043450000100001NNN00NNN000000100N0900000000233030000000010001992122300000000001667200000000001667224000012       0 NNY0,6
5800,신영와코루                              ST3002700060000 NN0NNN NNNNNNNNN0NNNNNNNN0000137200000100001NNN00NNN000000100N0900000000058660000000005001976122800000000000900000000000000450000000012       0 NNY00,0
5810,풍산홀딩스                              ST2002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000403000000100001NNN00NNN000000040Y0900000000219600000000050001988072800000000001441700000000008474951500012       0 NNY00,6
5850,에스엘                                  ST2002700150000 NN8NNY NNYNNNNNN0NNNNNNNN0000354500000100001NNN00NNN000000030Y0900000003850880000000005001988110800000000004644800000000002322426000012       0 NYY,2
6040,동원산업                                ST2002100000000 NN7NNN NNNNNNNNN0NNNNNNNN0000476500000100001NNN00NNN000000030Y0900000000915750000000010001989030700000000004414700000000004414798600012       0 NNY0,3
6120,SK디스커버리                            ST2002100000000 NN0NNY NNNNNNNYN0NNNNNNNN0000583000000100001NNN00NNN000000030Y0900000000248600000000050001976062900000000001834700000000010488487500012       0 NNY00,4
6260,LS                                      ST1002100000000 NN9NNY YYNNNNNNN0NNNNYNNN0002175000000100001NNN00NNN000000040Y0900000003000790000000050001977063000000000003170000000000016100000000012       0,5
6390,한일현대시멘트                          ST3002700100000 NN0NNY NNNNNNNNN0NYNNNNNN0000180100000100001YNN00NNN000000040Y0900000000000000000000050001975122600000000001932700000000009663836000012       0 NNY0000,1
6660,삼성공조                                ST3002700150000 NN0NNN NNNNNNNNN0NNNNNNNN0000138500000100001NNN00NNN000000060Y0900000000749930000000005001987112800000000000812600000000000406315700012       0 NNY0,6
6890,태경케미컬                              ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000085200000100001NNN00NNN000000100N0900000000268280000000005002003012800000000001160000000000000580000000012       0 NNY00,6
7210,벽산                                    ST3002700100000 NN0NNY NNNNNNNNN0NYNNNNNN0000017730000100001NNN00NNN000000060Y0900000003314940000000005001972010400000000006686000000000003428000000012       0 NN,1
7310,오뚜기                                  ST2002700050000 NN7NNY NNNNNNNNN0NNNNNNNN0003880000000100001NNN00NNN000000030Y0900000000064860000000050001994081200000000000400700000000002003915000012       0 NYY,2
7540,샘표                                    ST3002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000497500000100001NNN00NNN000000060Y0900000000244890000000010001976062900000000000287500000000000287580000012       0 NN,0
7570,일양약품                                ST3002700090000 NN0NNY NNNNYNNNN0NNNNNNNN0000130500000100001YNN00NNN000000100N0900000000000000000000025001974082800000000001908500000000004771416000012       0 NNY0,0
7590,동방아그로                              ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000060900000100001NNN00NNN000000100N0900000000166610000000005001977062900000000001361700000000000680878850012       0 NNY00,1
7690,국도화학                                ST3002700080000 NN0NNY NNNNNNNYN0NNNNNNNN0000331000000100001NNN00NNN000000040Y0900000000226460000000050001989080500000000000926000000000004630416000012       0 NNY0,0
7700,F&F홀딩스                               ST2002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000181900000100001NNN00NNN000000100N0900000000351700000000005001984100400000000003911400000000001955718350012       0 NNY,6
7980,TP                                      ST3002700060000 NN0NNN NNNNNNNNN0NNNNNNNN0000016200000100001NNN00NNN000000100N0900000008004120000000005001994122700000000005117500000000002646864250012       0,3
8260,NI스틸                                  ST3002700110000 NN0NNN NNNNNNNNN0NNNNNNNN0000037350000100001NNN00NNN000000100N0900000001558170000000005001975062800000000002860000000000001430005850012       0 NN,1
8490,서흥                                    ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000276000000100001NNN00NNN000000050Y0900000000918580000000005001990032700000000001156900000000000608455650012       0 NN,1
9070,KCTC                                    ST3001900000000 NN0NNN NNNNNNNNN0NNNNNNNN0000054700000100001NNN00NNN000000060Y0900000005141830000000005001978092900000000003000000000000001500000000012       0,3
9160,SIMPAC                                  ST3002700110000 NN0NNN NNNNNNNNN0NNNNNNNN0000046950000100001NNN00NNN000000060Y0900000000838780000000005001989072900000000006542900000000003271475800012       0,6
9180,한솔로지스틱스                          ST3001900000000 NN0NNN NNNNNNNNN0NNNNNNNN0000026400000100001NNN00NNN000000100N0900000002409330000000005001989111300000000002815500000000001468014100012       0 NNY0000,1
9290,광동제약                                ST3002700090000 NN0NNY NNNNYNNNN0NNNNNNNN0000057300000100001NNN00NNN000000040Y0900000000793290000000010001989111700000000005242000000000005242085100012       0 NNY0,6
9450,경동나비엔                              ST2002700130000 NN0NNY NNNNNNNNN0NYNNNNNN0000701000000100001NNN00NNN000000040Y0900000000931360000000010001993083100000000001456800000000001456859200012       0 NYY00,1
9470,삼화전기                                ST3002700130000 NN0NNN NNNNNNNNN0NNNNNNNN0000359000000100001NNN00NNN000000100N0900000001747090000000010001986112400000000000661300000000000661382000012       0 NNY0,7
9680,모토닉                                  ST3002700150000 NN0NNN NNNNNNNNN0NNNNNNNN0000105200000100001NNN00NNN000000040Y0900000000411920000000005001994011400000000002805000000000001650000000012       0 NNY,6
9900,명신산업                                ST3002700150000 N 0NNN NN    N  0  N     0000091000000100001NNN00NNN000000040Y0900000003403790000000005002020120700000000005247000000000002623506650012       0 NNY0,6
10640,진양폴리                                ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000043300000100001NNN00NNN000000100N0900000000568130000000005001989093000000000001000000000000000500000000012       0 NNY0,1
10660,화천기계                                ST3002700120000 NN0NNN NNNNNNNNN0NNNNNNNN0000043300000100001NNN00NNN000000100N0900000002314090000000005001988121200000000002200000000000001100000000012       0 NNY0,0
10690,화신                                    ST3002700150000 NN0NNN NNNNNNNNN0NNNNNNNN0000086400000100001NNN00NNN000000060Y0900000013855560000000005001994011400000000003492000000000001746020500012       0 NN,3
10960,삼호개발                                ST3001800000000 NN0NNN NNNNNNNNN0NNNNNNNN0000034300000100001NNN00NNN000000100N0900000000496260000000005002005051200000000002412000000000001250000000012       0 NNY0,6
11070,LG이노텍                                ST2002700130000 NN5YNY NNNNNNNNN0NNNNNNNY0002285000000100001NNN00NNN000000030Y0900000001852070000000050002008072400000000002366700000000011833553500012       0 NYY,5
11210,현대위아                                ST2002700150000 NN8NNY NNYNNNNNN0NNNNNNNY0000561000000100001NNN00NNN000000030Y0900000002470780000000050002011022100000000002719500000000013597541500012       0 NYY0,6
11500,한농화성                                ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000160300000100001NNN00NNN000000060Y0900000002269110000000005002003010900000000001563700000000000781852100012       0 NNY0,4
11780,금호석유화학                            ST2002700080000 NN4YNY NNNNNNNYN0NNNNNNNN0001154000000100001NNN00NNN000000030Y0900000000862380000000050001988012200000000002603100000000015233845500012       0 NYY000,5
12280,영화금속                                ST3002700150000 NN0NNN NNNNNNNNN0NNNNNNNN0000009190000100001NNN00NNN000000100N0900000000894930000000005001990012500000000005166400000000002756908250012       0 NNY0,3
12630,HDC                                     ST2002100000000 NN1NNY NNNNNNNNN0NYNNNNNN0000182500000100001NNN00NNN000000030Y0900000001789130000000050001996101600000000005974100000000029870860500012       0,3
13570,디와이                                  ST3002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000042700000100001NNN00NNN000000100N0900000000740020000000005001989053000000000002631900000000001315981650012       0 NNY,6
14440,영보화학                                ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000044900000100001NNN00NNN000000100N0900000000357820000000005001997082700000000002000000000000001000000000012       0 NNY0,6
14580,태경비케이                              ST3002700100000 NN0NNN NNNNNNNNN0NNNNNNNN0000048050000100001NNN00NNN000000060Y0900000001774800000000005001991030700000000002758300000000001379155000012       0 NNY00,1
14680,한솔케미칼                              ST2002700080000 NN4NNY NNNNNNNYN0NNNNNNNN0002310000000100001NNN00NNN000000040Y0900000001289290000000050001989052000000000001133500000000005667597500012       0 NYY00,7
14820,동원시스템즈                            ST2002700080000 NN3NNY NNNNNNNNN0NNNNNNNN0000287000000100001NNN00NNN000000060Y0900000000345300000000050001994032900000000002899100000000014495641000012       0 NYY000,0
14830,유니드                                  ST2002700080000 NN0NNY NNNNNNNYN0NNNNNNNN0000685000000100001NNN00NNN000000040Y0900000000338340000000050002004120300000000000676700000000003383800000012       0 NNY,6
15230,대창단조                                ST3002700150000 NN0NNN NNNNNNNNN0NNNNNNNN0000068400000100001NNN00NNN000000050Y0900000001086490000000005001989072500000000002857200000000001428611500012       0 NNY0,6
15860,일진홀딩스                              ST3002100000000 NN0NNY NNNNNNNNN0NNNNYNNN0000067500000100001NNN00NNN000000050Y0900000007310490000000010001990032200000000004934700000000004985261500012       0 NNY00,1
15890,태경산업                                ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000051000000100001NNN00NNN000000060Y0900000000866360000000005001996013000000000002922800000000001461437500012       0 NNY0,6
16090,대현                                    ST3002700060000 NN0NNN NNNNNNNNN0NNNNNNNN0000017070000100001NNN00NNN000000100N0900000001562060000000005001990092000000000004428200000000002690615500012       0 NN,6
16580,환인제약                                ST3002700090000 NN0NNY NNNNYNNNN0NNNNNNNN0000113400000100001NNN00NNN000000100N0900000000458350000000005001996070300000000001860000000000000970003500012       0 NNY0,6
16590,신대양제지                              ST3002700070000 NN0NNN NNNNNNNNN0NNNNNNNN0000122900000100001NNN00NNN000000100N0900000000209300000000005001995122100000000004029700000000002014891000012       0 NNY00,6
16710,대성홀딩스                              ST3002600000000 NN0NNN NNNNNNNNN0NNNNNNNN0000083400000100001NNN00NNN000000100N0900000000306460000000010001999122200000000001608900000000001608945900012       0 NNY00,6
16800,퍼시스                                  ST3002700000000 NN0NNN NNNNNNNNN0NNNNNNNN0000453000000100001NNN00NNN000000100N0900000000055810000000010001996122400000000001150000000000001430000000012       0 NNY,6
17370,우신시스템                              ST3002700120000 NN0NNN NNNNNNNNN0NNNNNNNN0000067100000100001NNN00NNN000000100N0900000000467140000000005002002052800000000001831400000000000915702700012       0 NNY00,3
17390,서울가스                                ST3001700000000 NN0NNN NNNNNNNNN0NNNNNNNN0000635000000100001NNN00NNN000000100N0900000000090600000000050001995081800000000000500000000000003500000000012       0 NNY0,6
17800,현대엘리베이터                          ST2002700120000 NN2NNY NNNNNNNNN0NNNNYNNN0000760000000100001NNN00NNN000000040Y0900000007191580000000050001996070300000000003909200000000021223595500012       0 NYY0000,7
18250,애경산업                                ST3002700080000 N 0NNN NN    N  0  N     0000142200000100001NNN00NNN000000040Y0900000000597400000000010002018032200000000002640900000000002640993500012       0 NNY0,6
18670,SK가스                                  ST2001600000000 NN0NNY NNNNNNNYN0NNNNNNNN0002520000000100001NNN00NNN000000040Y0900000000130630000000050001997082700000000000924500000000004622622000012       0 NY,3
19440,세아특수강                              ST3002700110000 NN0NNN NNNNNNNNN0NNNNNNNN0000162400000100001NNN00NNN000000100N0900000000289910000000050002011060100000000000857000000000004285000000012       0 NNY00,6
23000,삼원강재                                ST3002700150000 NN0NNN NNNNNNNNN0NNNNNNNN0000024300000100001NNN00NNN000000100N0900000000142540000000005002011072200000000004000000000000002000000000012       0 NNY0,6
23450,동남합성                                ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000323000000100001NNN00NNN000000100N0900000000024830000000005001996122400000000000350000000000000312556400012       0 NNY0,7
23800,인지컨트롤스                            ST3002700150000 NN0NNN NNNNNNNNN0NNNNNNNN0000060000000100001NNN00NNN000000100N0900000000775380000000005001997062300000000001580900000000000790459850012       0 NNY000,3
23810,인팩                                    ST3002700150000 NN0NNN NNNNNNNNN0NNNNNNNN0000062200000100001NNN00NNN000000100N0900000000633860000000005002004092100000000001000000000000000500000000012       0 NN,3
24090,디씨엠                                  ST3002700110000 NN0NNN NNNNNNNNN0NNNNNNNN0000118000000100001NNN00NNN000000100N0900000000047370000000005001999081800000000001140000000000000600000000012       0 NNY,2
24720,콜마홀딩스                              ST3002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000111800000100001NNN00NNN000000040Y0900000001846960000000005002002040900000000003429600000000001848073950012       0 NNY00,1
25000,KPX케미칼                               ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000481000000100001NNN00NNN000000040Y0900000000080690000000050001994122700000000000484000000000002420000000012       0 NNY,6
25530,SJM홀딩스                               ST3001600000000 NN0NNN NNNNNNNNN0NNNNNNNN0000036400000100001NNN00NNN000000100N0900000000226490000000005001997021200000000001493400000000000746700400012       0 NNY,6
25540,한국단자                                ST2002700130000 NN0NNY NNNNNNNNN0NNNNYNNN0000619000000100001NNN00NNN000000030Y0900000000342490000000005001996101600000000001011500000000000520750000012       0 NNY0,2
25820,이구산업                                ST3002700110000 NN0NNN NNNNNNNNN0NNNNNNNN0000050400000100001NNN00NNN000000100N0900000012101190000000005001995081800000000003344200000000001672100000012       0 NNY0,3
25860,남해화학                                ST3002700080000 NN0NNY NNNNNNNYN0NNNNNNNN0000066200000100001NNN00NNN000000060Y0900000001559120000000010001995111000000000004967800000000004967884300012       0 NNY0,6
26940,부국철강                                ST3002700110000 NN0NNN NNNNNNNNN0NNNNNNNN0000022000000100001NNN00NNN000000100N0900000000608960000000005002008101400000000002000000000000001000000000012       0 NNY0,6
28050,삼성E&A                                 ST1002600000000 NN1YNY NYNNNNNNN0NYNNNNNY0000274000000100001NNN00NNN000000040Y0900000008433550000000050001996122400000000019600000000000098000000000012       0 NY,5
28100,동아지질                                ST3001800000000 NN0NNN NNNNNNNNN0NNNNNNNN0000147000000100001NNN00NNN000000100N0900000000224430000000005002009061200000000001338900000000000702632300012       0 NNY0,0
28670,팬오션                                  ST2001900000000 NN9NNY NNNNNNNNN0NNNNNNYN0000038350000100001NNN00NNN000000030Y0900000015571620000000010002007092100000000053456900000000053456951200012       0 NYY,3
29460,케이씨                                  ST3002700140000 NN0NNY NNNYNNNNN0NNNNNNNN0000261000000100001NNN00NNN000000040Y0900000000694500000000005001997112500000000001323100000000000677702200012       0 NNY,6
29780,삼성카드                                ST1002100000000 NY6YNY NNNNNNNNN0NNNNNNNY0000496500000100001NNN00NNN000000030Y0900000000804690000000050002007062700000000011585800000000061479445500012       0 NYY0,5
30190,NICE평가정보                            ST2002900000000 NN0NNN NNNNNNNNN0NNNNNNNN0000137600000100001NNN00NNN000000030Y0900000001702370000000005002023080800000000005950600000000003035741000012       0 NNY0,7
31210,서울보증보험                            ST2002100250000 N 0NNN NN    N  0  N     0000508000000100001NNN00NNN000000030Y0900000000396880000000025002025031400000000006982100000000017455399500012       0 NNY000,5
31440,신세계푸드                              ST3002600000000 NN0NNN NNNNNNNNN0NNNNNNNN0000356000000100001NNN00NNN000000060Y0900000000262840000000050002010042900000000000387200000000001936240000012       0 NNY00,3
33270,유나이티드제약                          ST3002700090000 NN0NNY NNNNYNNNN0NNNNNNNN0000187300000100001NNN00NNN000000040Y0900000000492770000000005002007102300000000001633300000000000816691100012       0 NNY0000,6
33530,SJG세종                                 ST3002700150000 NN0NNN NNNNNNNNN1NNNNNNNN0000078900000100001NNN00NNN000000060Y0900000036737440000000005002002092500000000002782000000000001391048050012       0 NN,3
33920,무학                                    ST3002700050000 NN0NNN NNNNNNNNN0NNNNNNNN0000083200000100001NNN00NNN000000050Y0900000000666950000000002002010072000000000002850000000000000570000000012       0 NN,6
34230,파라다이스                              ST2003000000000 NN0NNY NNNNNNNNN0NNNNNNNN0000184900000100001NNN00NNN000000050Y0900000007407180000000005002024062400000000009240500000000004803436350012       0 NYY00,0
34310,NICE                                    ST3002600000000 NN0NNN NNNNNNNNN0NNNNNNNN0000136500000100001NNN00NNN000000040Y0900000000780880000000005002004020400000000003712800000000001894115000012       0,3
34590,인천도시가스                            ST3001700000000 NN0NNN NNNNNNNNN0NNNNNNNN0000263000000100001NNN00NNN000000100N0900000000023540000000050002006110700000000000437400000000002187377000012       0 NNY000,3
35150,백산                                    ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000134000000100001NNN00NNN000000040Y0900000000290020000000005001999081100000000002100100000000001414500000012       0 NN,1
35250,강원랜드                                ST1003000000000 NY8YNY NYNNNNNNN0NNNNNNNN0000169700000100001NNN00NNN000000030Y0900000006733630000000005002003090400000000021394000000000010697025000012       0 NYY0,2
