단축코드,한글명,시가총액,per,pbr,ROE,부채비율,배당수익률
000520,삼일제약                                ST3002700090000 NN0NNN NNNNNNNNN0NNNNNNNN0000092200000100001NNN00NNN000000050Y0900000002360970000000005001985052900000000002169100000000001084590550012       0 NNY0,2061.0,-35.58,1.15,-19.15,151.62,0.0
000540,흥국화재                                ST3002100250000 NN0NNN NNNNNNNNN0NNNNNNNN0000037500000100001NNN00NNN000000060Y0900000000893330000000050001974120500000000006424200000000032121322500012       0 NNY0,2399.0,2.28,0.32,9.97,1568.87,0.0
000545,흥국화재우                              ST0002100250000 NN0NNN NNNNNNNNN3NNNNNNNN0000071700000100001NNN00NNN000000100N0900000000023960000000050001990032000000000000076800000000000384000000012       1 NNN00,54.0,0.0,0.0,0.0,0.0,0.0
000590,CS홀딩스                                ST3002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000756000000100001NNN00NNN000000100N0900000000015770000000050001975122200000000000115400000000000577241000012       0 NNY,860.0,2.77,0.27,4.4,8.46,10.0
000640,동아쏘시오홀딩스                        ST2002100000000 NN0NNY NNNNYNNNN0NNNNNNNN0001084000000100001NNN00NNN000000030Y0900000000143320000000050001970021000000000000653600000000003268217000012       0 NNY00000,7092.0,12.22,0.67,10.32,84.16,14.0
000650,천일고속                                ST3001900000000 NN0NNN NNNNNNNNN0NNNNNNNN0000382000000100001NNN00NNN000000100N0900000000004180000000050001977062300000000000142900000000000714610000012       0 NNY0,532.0,-12.67,3.75,-25.32,279.81,0.0
000660,SK하이닉스                              ST1002700130000 NN5YYY YYNYNNNNN0NNNNNNNY0005680000000100001NNN00NNN000000020Y0900000048884610000000050001996122600000000072800200000000365765205000012       0 NYY0,4069533.0,20.57,5.35,37.52,48.13,7.5
000670,영풍                                    ST2002700110000 NN3NNY NNNNNNNNY0NNNNNNNN0000482500000100001NNN00NNN000000100N0900000000849170000000005001976061200000000001910800000000000955422500012       0 NY,9363.0,-3.71,0.26,14.19,35.62,1.0
000680,LS네트웍스                              ST3001600000000 NN0NNN NNNNNNNNN0NNNNNNNN0000036000000100001NNN00NNN000000060Y0900000004686600000000050001973111500000000007880300000000039401508000012       0 NNY0,2758.0,-6.27,0.51,3.31,1098.8,0.0
000700,유수홀딩스                              ST3002600000000 NN0NNY NNNNNNNNN0NNNNNNYN0000056200000100001NNN00NNN000000100N0900000000256400000000025001956030300000000002604100000000006510453000012       0 NNY00,1469.0,8.92,0.43,1.67,16.51,14.0
000720,현대건설                                ST1001800000000 NN1YNY YYNNNNNNN0NYNNNNNY0000689000000100001NNN00NNN000000060Y0900000020908390000000050001984122200000000011135500000000055677882500012       0 NYY0,78283.0,-46.87,0.98,5.37,167.89,12.0
000725,현대건설우                              ST0001800000000 NN0NNN NNNNNNNNN0NNNNNNNN0000566000000100001NNN00NNN000000100N0900000000204400000000050001989092100000000000105400000000000527346500012       1 NNN00,597.0,0.0,0.0,0.0,0.0,13.0
000760,이화산업                                ST3001600000000 NN0NNN NNNNNNNNN0NNNNNNNN0000122000000100001NNN00NNN000000100N0900000000003350000000050001994042900000000000280000000000001400000000012       0 NNY0,343.0,-54.4,0.25,0.77,30.48,0.0
000810,삼성화재                                ST1002100250000 NY6YYY YYNNNNNNN0NNNNNYNY0004465000000100001NNN00NNN000000020Y0900000000711670000000005001975063000000000004601100000000002480241850012       0 NYY0,203139.0,10.77,1.31,15.48,431.21,3800.0
000815,삼성화재우                              ST0002100250000 NN0NNN NNNNNNNNN0NNNNNNNN0003385000000100001NNN00NNN000000060Y0900000000165220000000005001990041000000000000309900000000000167100000012       1 NNN00,10476.0,0.0,0.0,0.0,0.0,3801.0
000850,화천기공                                ST3002700120000 NN0NNN NNNNNNNNN0NNNNNNNN0000318000000100001NNN00NNN000000100N0900000000046160000000050001999111800000000000220000000000001100000000012       0 NNY0,689.0,7.96,0.2,2.96,27.17,21.0
000860,강남제비스코                            ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000122500000100001NNN00NNN000000100N0900000000286890000000005001975111200000000001300000000000000650000000012       0 NNY000,1598.0,12.06,0.26,0.91,37.66,50.0
000880,한화                                    ST1002700080000 NN4NNY YYNNNNNNN0NNNNNNNY0000982000000100001NNN00NNN000000030Y0900000005800210000000050001976062400000000007495800000000037479367500012       0 NY,71661.0,12.08,0.83,3.03,523.84,16.0
000890,보해양조                                ST3002700050000 NN0NNN NNNNNNNNN0NNNNNNNN0000004330000100001NNN00NNN000000100N0900000003125110000000005001988092300000000013912000000000006956006450012       0 NNY0,604.0,9.04,0.69,4.42,62.18,0.0
000910,유니온                                  ST3002700100000 NN0NNN NNNNNNNNN0NNNNNNNN0000044400000100001NNN00NNN000000100N0900000027960480000000005001996070300000000001561100000000000780580950012       0 NNY,690.0,-1.64,0.83,13.05,193.9,25.0
000950,전방                                    ST3002700060000 NN0NNN NNNNNNNNN0NNNNNNNN0000326000000100001NNN00NNN000000100N0900000000024630000000050001968102100000000000168000000000000840000000012       0 NN,560.0,6.29,0.26,29.06,4.43,20.0
000970,한국주철관                              ST3002700110000 NN0NNY NNNNNNNNN0NYNNNNNN0000067000000100001NNN00NNN000000060Y0900000000312540000000005001969121200000000002280000000000001200000000012       0 NNY00,1528.0,11.19,0.43,4.77,20.43,80.0
000990,DB하이텍                                ST2002700130000 NN0NNY NNNYNNNNN0NNNNNNNN0000589000000100001NNN00NNN000000030Y0900000002851140000000050001975121200000000004350400000000022199294000012       0 NYY,25581.0,11.41,1.25,10.81,19.01,24.6
001020,페이퍼코리아                            ST3002700070000 NN0NNN NNNNNNNNN0NNNNNNNN0000006950000100001NNN00NNN000000100N0900000000278800000000005001976062600000000017798300000000008899165650012       0 NNY000,1230.0,-12.8,0.43,-4.04,68.77,0.0
001040,CJ                                      ST1002100000000 NN7NNY NNNNNNNNN0NNNNNNNY0001694000000100001NNN00NNN000000040Y0900000001364900000000050001973062900000000002917600000000014661369500012       0,49805.0,60.6,1.09,8.8,173.69,60.0
001045,CJ우                                    ST0002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000915000000100001NNN00NNN000000050Y0900000000062820000000050001989081800000000000226000000000001130111500012       1 N,2066.0,0.0,0.0,0.0,0.0,61.0
001060,JW중외제약                              ST3002700090000 NN0NNY NNNNYNNNN0NNNNNNNN0000231500000100001NNN00NNN000000040Y0900000000609510000000025001976061400000000002328500000000005821482500012       0 NNY0,5472.0,9.02,1.71,9.56,82.53,18.0
001065,JW중외제약우                            ST0002700090000 NN0NNN NNNNNNNNN0NNNNNNNN0000271500000100001NNN00NNN000000100N0900000000001000000000025001994102100000000000034100000000000085487750012       1 NNN00,93.0,0.0,0.0,0.0,0.0,19.0
001067,JW중외제약2우B                          ST0002700090000 NN0NNN NNNNNNNNN0NNNNNNNN0000604000000100001NNN00NNN000000100N0900000000000010000000025001998041300000000000020900000000000052493250012       2 NNN00,125.0,0.0,0.0,0.0,0.0,18.0
001070,대한방직                                ST3002700060000 NN0NNN NNNNNNNNN0NNNNNNNN0000062800000100001NNN00NNN000000100N0900000000117070000000010001973122800000000000530000000000000530000000012       0 NNY0,334.0,29.86,0.2,-0.88,52.42,0.0
001080,만호제강                                ST3002700110000 NN0NNN NNNNNNNNN0NNNNNNNN0000490000000100001NNN00NNN000000100N0900000000046660000000010001977061800000000000415000000000000415000000006       0 NNY0,1951.0,-55.16,1.03,-1.92,11.98,0.0
001120,LX인터내셔널                            ST2001600000000 NN0NNY NNNNNNNNN0NNNNNNNN0000301000000100001NNN00NNN000000040Y0900000001181940000000050001976013000000000003876000000000019380000000012       0 NYY00,11686.0,6.65,0.43,11.44,173.72,40.0
001130,대한제분                                ST3002700050000 NN0NNN NNNNNNNNN0NNNNNNNN0001397000000100001NNN00NNN000000100N0900000000023500000000050001970112500000000000169000000000000845000000012       0 NNY0,2341.0,4.8,0.23,6.6,46.99,70.0
001140,국보                                    ST3001900000000 NN0NNN NNNNNNNNN0NNNNNNNN0000021100000100001YNY00NNN000000100N0900000000000000000000005001989120200000000001585600000000000792819400012       0 NN,335.0,-1.19,3.4,-286.7,4926.55,0.0
001200,유진투자증권                            ST3002100240000 NN0NNY NNNNNNNNN0NNNYNNNN0000037100000100001NNN00NNN000000060Y0900000012561890000000050001987082400000000009686600000000053759209000012       0 NNY000,3613.0,7.29,0.34,7.39,810.56,2.0
001210,금호전기                                ST3002700130000 NN0NNN NNNNNNNNN0NNNNNNNN0000006800000100001NNN00NNN000000100N0900000004151690000000005001973111500000000006155300000000003077699850012       0 NNY0,418.0,-3.13,0.76,-12.24,155.92,0.0
001230,동국홀딩스                              ST3002100000000 NN0NNY NNNNNNNNY0NNNNNNNN0000074100000100001NNN00NNN000000060Y0900000000290980000000050001988050900000000003180000000000027106676500012       0 NNY00,2325.0,19.81,0.14,0.37,39.54,2.0
001250,GS글로벌                                ST3001600000000 NN0NNN NNNNNNNNN0NNNNNNNN0000024650000100001NNN00NNN000000040Y0900000006612310000000025001976062600000000008253300000000020633441000012       0 NNY,2026.0,3.74,0.38,7.37,143.99,1.0
001260,남광토건                                ST3001800000000 NN0NNN NNNNNNNNN0NNNNNNNN0000077600000100001NNN00NNN000000100N0900000000471070000000050001976122800000000000983200000000004916286000012       0 NNY0,755.0,12.19,0.63,7.97,221.73,0.0
001270,부국증권                                ST3002100240000 NN0NNN NNNNNNNNN0NNNNNNNN0000670000000100001NNN00NNN000000100N0900000000464090000000050001988071900000000001036900000000005184943000012       0 NNY0,7031.0,29.29,1.09,9.18,652.45,30.0
001275,부국증권우                              ST0002100240000 YN0NNN NNNNNNNNN0NNNNNNNN0000277500000100001NNN00NNN000000100N0900000000018130000000050001989111000000000000300000000000001500000000012       1 NNN00,839.0,0.0,0.0,0.0,0.0,31.0
001290,상상인증권                              ST3002100240000 NN0NNN NNNNNNNNN0NNNNNNNN0000007300000100001NNN00NNN000000100N0900000006983490000000010001988092300000000010833700000000010964059600012       0 NNY00,794.0,-1.68,0.43,-8.05,941.84,0.0
001340,PKC                                     ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000063000000100001NNN00NNN000000060Y0900000001635500000000005001976061000000000004491800000000002245920350012       0,2816.0,78.38,1.32,3.79,136.17,0.0
001360,삼성제약                                ST3002700090000 NN0NNN NNNNNNNNN0NNNNNNNN0000014930000100001NNN00NNN000000100N0900000005520550000000005001975070400000000009416200000000004708103950012       0 NNY0,1444.0,-9.89,1.36,-15.36,21.35,0.0
001380,SG글로벌                                ST3002700150000 NN0NNN NNNNNNNNN0NNNNNNNN0000017320000100001NNN00NNN000000100N0900000003628400000000005001976062900000000004496400000000002248207150012       0 NNY,796.0,12.65,0.53,3.85,34.19,0.0
001390,KG케미칼                                ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000049500000100001NNN00NNN000000040Y0900000002788590000000010001989082500000000006846900000000007112835000012       0 NNY,3334.0,5.39,0.35,8.32,119.26,13.0
001420,태원물산                                ST3002700150000 NN0NNN NNNNNNNNN0NNNNNNNN0000033100000100001NNN00NNN000000100N0900000000111680000000005001975062400000000000760000000000000380000000012       0 NNY0,253.0,1.45,0.55,47.06,18.25,40.0
001430,세아베스틸지주                          ST2002700110000 NN3NNY NNNNNNNNY0NNNNNNNN0000275000000100001NNN00NNN000000060Y0900000001511790000000050001991031200000000003586200000000021931059500012       0 NYY0000,9862.0,48.76,0.51,2.51,102.13,24.0
001440,대한전선                                ST2002700130000 NN9NNY NNNNNNNNN0NNNNYNNN0000210500000100001NNN00NNN000000060Y0900000056943160000000010001968122700000000018644700000000018644730000012       0 NYY0,45120.0,60.35,3.05,0.52,95.49,0.0
001450,현대해상                                ST2002100250000 NY6NNY NNNNNNNNN0NNNNNYNY0000277000000100001NNN00NNN000000060Y0900000004746060000000005001989082500000000008940000000000004470000000012       0 NYY0,24406.0,2.87,0.51,21.64,994.52,0.0
001460,BYC                                     ST3002700060000 NN0NNN NNNNNNNNN0NNNNNNNN0000362000000100001NNN00NNN000000100N0900000000013220000000005001975060200000000000624600000000000312307500012       0,2342.0,17.11,0.57,1.77,31.01,70.0
001465,BYC우                                   ST0002700060000 NN0NNN NNNNNNNNN0NNNNNNNN0000223500000100001NNN00NNN000000100N0900000000029190000000005001989090500000000000215300000000000107692500012       1 N,491.0,0.0,0.0,0.0,0.0,71.0
001470,삼부토건                                ST3001800000000 NN0NNN NNNNNNNNN0NNNNNNNN0000003470000100001YNY00NNN000000100N0900000000000000000000010001976062600000000022968100000000022968182400012       0 NNY0,797.0,-0.62,6.94,0.0,0.0,0.0
001500,현대차증권                              ST3002100240000 NN0NNY NNNNNNNNN0NNNYNNNN0000089000000100001NNN00NNN000000040Y0900000002143340000000050001990060900000000006183300000000030916522000012       0 NNY00,5398.0,9.95,0.28,5.88,793.22,3.6
001510,SK증권                                  ST3002100240000 NN0NNY NNNNNNNNN0NNNYNNNN0000007000000100001NNN00NNN000000060Y0900000048425940000000005001986092000000000047259000000000023629508550012       0 NN,3308.0,-4.05,0.56,5.59,1051.79,0.2
001515,SK증권우                                ST0002100240000 NN0NNN NNNNNNNNN3NNNNNNNN0000023550000100001NNN00NNN000000100N0900000000080010000000005001989082900000000000391200000000000195625700012       1 NNN,91.0,0.0,0.0,0.0,0.0,1.2
001520,동양                                    ST3002700100000 NN0NNY NNNNNNNNN0NYNNNNNN0000008860000100001NNN00NNN000000060Y0900000058128870000000005001976062500000000023868400000000011934203150012       0 NN,2086.0,-2.82,0.25,-0.68,85.89,0.0
001525,동양우                                  ST0002700100000 YN0NNN NNNNNNNNN3NNNNNNNN0000053700000100001NNN00NNN000000100N0900000000668750000000005001989093000000000000061700000000000030886550012       1 NNN,33.0,0.0,0.0,0.0,0.0,0.0
001527,동양2우B                                ST0002700100000 YN0NNN NNNNNNNNN0NNNNNNNN0000087500000100001NNN00NNN000000100N0900000000022230000000005001999012800000000000030800000000000015428450012       2 NNN,27.0,0.0,0.0,0.0,0.0,0.0
001530,DI동일                                  ST2001600000000 NN0NNY NNNNNNNNN0NNNNNNNN0000184800000100001NNN00NNN000000100N0900000001644730000000005001964010400000000001972900000000001374736800012       0 NY,3567.0,296.39,0.7,-2.64,88.76,50.0
001550,조비                                    ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000115000000100001NNN00NNN000000100N0900000000663280000000050001976122800000000000519200000000002596119500012       0 NN,582.0,91.06,1.1,1.22,127.66,0.0
001560,제일연마                                ST3002700100000 NN0NNN NNNNNNNNN0NNNNNNNN0000093100000100001NNN00NNN000000100N0900000000049530000000005002005120900000000000980000000000000500000000012       0 NNY0,895.0,15.14,0.74,21.55,12.9,64.0
001570,금양                                    ST2002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000099000000100001YNY00NNN000000100N0900000000000000000000005001976121700000000006396700000000003198359800012       0 NN,6333.0,-4.16,1.29,-14.26,154.35,0.0
001620,케이비아이동국실업                      ST3002700150000 NN0NNN NNNNNNNNN0NNNNNNNN0000004680000100001NNN00NNN000000100N0900000001325080000000005001990091500000000011129300000000005564651550012       0 NNY000003,523.0,2.05,0.24,-3.78,250.27,0.0
001630,종근당홀딩스                            ST3002700090000 NN0NNY NNNNYNNNN0NNNNNNNN0000452000000100001NNN00NNN000000040Y0900000000146640000000025001976063000000000000500900000000001252465250012       0 NNY000,2264.0,6.74,0.38,5.56,78.13,56.0
001680,대상                                    ST2002700050000 NN7NNY NNNNNNNNN0NNNNNNNN0000209500000100001NNN00NNN000000030Y0900000001254410000000010001970040100000000003464800000000003464802500012       0 NY,7224.0,7.89,0.53,6.53,141.15,85.0
001685,대상우                                  ST0002700050000 NN0NNN NNNNNNNNN0NNNNNNNN0000167000000100001NNN00NNN000000100N0900000000060940000000010001989112100000000000137000000000000137022300012       1 NNN,231.0,0.0,0.0,0.0,0.0,86.0
001720,신영증권                                ST2002100240000 NN0NNY NNNNNNNNN0NNNYNNNN0001401000000100001NNN00NNN000000100N0900000000261350000000050001987082400000000001644000000000008220000000003       0 NNY0,23822.0,21.93,1.23,13.25,493.14,100.0
001740,SK네트웍스                              ST2001600000000 NN0NNY NNNNNNNNN0NNNNNNNN0000045500000100001NNN00NNN000000040Y0900000002303870000000025001977063000000000022127700000000062046911750012       0 NYY0,10046.0,21.21,0.46,2.0,153.3,2.0
001750,한양증권                                ST3002100240000 NN0NNN NNNNNNNNN0NNNNNNNN0000192100000100001NNN00NNN000000100N0900000000301120000000050001988030400000000001272800000000006364267000012       0 NNY0,2418.0,6.49,0.49,16.29,921.56,19.0
001755,한양증권우                              ST0002100240000 NN0NNN NNNNNNNNN0NNNNNNNN0000187600000100001NNN00NNN000000100N0900000000016140000000050001989102400000000000052500000000000262500000012       1 NNN00,98.0,0.0,0.0,0.0,0.0,20.0
001770,SHD                                     ST3002700110000 NN0NNN NNNNNNNNN0NNNNNNNN0000174500000100001NNN00NNN000000100N0900000000019860000000050001988112300000000000121400000000000607439000012       0,208.0,7.09,0.39,5.58,52.89,2.0
001780,알루코                                  ST3002700110000 NN0NNN NNNNNNNNN0NNNNNNNN0000020950000100001NNN00NNN000000060Y0900000003894530000000005002007060700000000009683000000000004841506600012       0 NNY,1990.0,10.93,0.64,5.3,135.82,0.0
001790,대한제당                                ST3002700050000 NN0NNN NNNNNNNNN0NNNNNNNN0000028000000100001NNN00NNN000000040Y0900000003737810000000005001968122700000000008969600000000004484829000012       0 NNY0,2512.0,13.15,0.48,15.7,119.54,24.0
001795,대한제당우                              ST0002700050000 NN0NNN NNNNNNNNN0NNNNNNNN0000024400000100001NNN00NNN000000100N0900000000264660000000005001995012100000000000648200000000000324138000012       1 NNN00,159.0,0.0,0.0,0.0,0.0,25.0
001800,오리온홀딩스                            ST2002100000000 NN7NNY NNNNNNNNN0NNNNNNNN0000190400000100001NNN00NNN000000030Y0900000001163120000000005001975062700000000006264500000000003132271100012       0 NYY000,11909.0,7.41,0.5,5.1,17.78,160.0
001820,삼화콘덴서                              ST3002700130000 NN0NNN NNNNNNNNN0NNNNNNNN0000326500000100001NNN00NNN000000040Y0900000001093630000000010001976062600000000001039500000000001039500000012       0 NNY00,3514.0,16.1,1.32,5.12,24.36,50.0
001940,KISCO홀딩스                             ST3002700110000 NN0NNN NNNNNNNNN0NNNNNNNN0000256000000100001NNN00NNN000000060Y0900000000131300000000010001989111300000000001417600000000001847638000012       0 NNY,3629.0,12.76,0.3,-0.93,10.88,100.0
002020,코오롱                                  ST2002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000435000000100001NNN00NNN000000040Y0900000001379830000000050001975062300000000001262600000000006313213000012       0 NNY,5505.0,3.51,0.36,-6.18,197.4,11.0
002025,코오롱우                                ST0002100000000 NN0NNN NNNNNNNNN0NNNNNNNN0000217500000100001NNN00NNN000000100N0900000000142340000000050001989082200000000000107600000000000538195000012       1 NNN0,235.0,0.0,0.0,0.0,0.0,12.0
002030,아세아                                  ST2002600000000 NN0NNN NNNNNNNNN0NNNNNNNN0003570000000100001NNN00NNN000000030Y0900000000025500000000050001974060300000000000208400000000001095512000012       0 NNY,7420.0,12.14,0.63,4.85,63.09,0.0
002070,비비안                                  ST3002700060000 NN0NNN NNNNNNNNN0NNNNNNNN0000007100000100001NNN00NNN000000100N0900000002206220000000005001976071300000000004519600000000002259803850012       0 NNY,317.0,-20.06,0.24,3.72,123.77,0.0
002100,경농                                    ST3002700080000 NN0NNN NNNNNNNNN0NNNNNNNN0000096200000100001NNN00NNN000000060Y0900000000540630000000005001977063000000000001952200000000001084587500012       0 NN,1849.0,10.75,0.73,26.12,72.56,40.0
002140,고려산업                                ST3002700050000 NN0NNN NNNNNNNNN0NNNNNNNN0000025050000100001NNN00NNN000000100N0900000001082350000000010001991011400000000002493900000000002493942500012       0 NNY0,620.0,15.43,0.57,10.03,155.98,3.0
